,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,102,84,93,101,101,80,63,109,72,77,93,75,87,74,7,96,25,88,82,92,91,96,74,98,76,95,82,100,78,78,98,106,74,78,106,67,104,91,93,94,94,92,100,83,79,94,80,98,99,94,88,85,72,97,90,16,99,106,69,78,91,73,104,99,80,102,74,100,79,100,94,126,88,79,105,98,110,101,7,87,100,91,112,86,105,85,106,67,73,87,86,88,103,78,74,69,105,107,102,98
classroom,91,70,73,96,70,54,62,75,69,68,41,64,80,45,5,84,21,69,66,74,63,80,59,74,76,72,73,69,53,88,89,86,61,47,62,54,90,86,53,71,93,76,67,66,74,64,73,91,70,66,67,76,53,74,73,13,73,97,68,87,76,67,86,67,65,87,80,84,69,84,58,96,87,67,95,84,94,114,3,63,79,71,83,70,82,69,87,69,73,74,57,84,87,56,59,55,73,83,90,78
dining,22,20,21,16,20,13,12,26,21,22,23,16,13,12,1,21,10,17,13,17,15,24,18,14,21,10,17,21,12,25,13,18,15,14,16,10,17,19,17,20,25,18,12,18,17,18,13,24,22,11,12,12,16,19,16,4,31,17,26,20,17,13,24,25,13,11,20,24,15,15,16,27,16,14,23,27,19,18,0,21,24,18,15,25,21,10,22,12,17,21,25,11,24,13,10,15,17,23,18,27
library,14,12,8,12,18,12,12,12,11,6,12,9,11,10,1,19,6,16,16,9,7,18,7,15,12,10,11,14,15,14,14,9,8,8,11,8,17,15,13,18,19,10,7,13,12,7,12,20,10,12,12,13,17,20,12,3,14,13,12,9,10,2,7,12,19,12,12,10,8,7,11,15,9,9,9,13,7,16,0,10,12,9,12,12,14,11,7,3,10,12,11,12,12,6,11,11,10,14,13,19
gym,33,22,32,33,40,28,21,32,27,23,40,36,28,25,1,41,11,20,32,35,38,34,17,44,18,34,21,42,28,18,41,47,21,33,34,33,35,38,25,39,36,25,24,41,12,27,40,34,26,48,26,26,35,26,34,1,33,40,24,28,23,14,41,28,30,20,17,46,29,27,23,48,31,34,60,37,25,24,2,20,35,19,48,36,51,28,41,15,28,24,39,32,30,22,18,9,30,29,26,43
social,132,139,134,125,144,117,89,128,90,112,105,95,115,92,8,137,36,113,133,126,127,146,111,101,129,144,115,146,103,118,123,131,99,118,148,93,138,115,123,157,134,120,139,122,104,135,119,138,134,120,138,123,97,136,140,17,125,145,107,132,118,123,159,134,109,136,111,144,119,126,118,158,134,111,157,136,140,152,5,138,142,114,147,120,114,129,147,110,108,128,111,107,145,73,87,112,154,126,139,140
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,3,5,8,4,5,5,1,8,4,7,5,2,5,4,4,3,4,5,6,5,1,1,3,3,2,2,3,7,8,1,4,4,5,2,4,7,2,2,4,6,2,1,8,1,2,2,4,4,3,5,2,6,2,7,3,4,4,3,5,4,2,4,3,2,3,5,5,4,5,1,3,6,2,5,5,2,4,1,3,0,1,3,3,3,5,7,2,3,2,4,2,6,5,5,4,3,8,3,5,2
office,1,0,0,0,0,2,0,0,2,1,1,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,5,0,0,0,0
largeGathering,22,17,17,18,15,13,21,17,17,13,16,3,9,7,0,37,17,6,21,17,15,34,26,23,16,23,15,7,22,15,23,24,10,11,6,25,19,21,10,22,18,8,24,20,16,19,15,26,17,18,16,33,19,36,20,0,11,12,16,26,17,10,17,31,21,17,3,15,8,37,30,22,18,21,21,32,9,14,4,19,21,20,38,15,20,10,25,5,4,21,13,45,16,29,13,6,32,16,20,20
