,0
dorm,107
classroom,38
dining,33
library,2
gym,26
social,55
transit,0
offCampus,5
office,0
largeGathering,38
dorm_hub,14
classroom_hub,0
dining_hub,0
library_hub,0
gym_hub,0
social_hub,0
transit_hub,0
offCampus_hub,0
office_hub,0
