,A,B,W
0,Off,Off,Off
1,Off,Off,Off
2,Off,Off,Off
3,Off,Off,Off
4,Off,Off,Off
5,Off,Off,Off
6,Off,Off,Off
7,Off,Off,Off
8,Off,Off,Off
9,office,office,Off
10,office,office,Off
11,office,office,Off
12,116,office,Off
13,116,office,Off
14,office,79,Off
15,dining,office,Off
16,office,office,Off
17,office,office,Off
18,Off,Off,Off
19,Off,Off,Off
20,Off,Off,Off
21,Off,Off,Off
22,Off,Off,Off
23,Off,Off,Off
