,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200
0,6985,6985,6983,6974,6973,6971,6971,6968,6962,6959,6956,6952,6946,6942,6938,6933,6929,6921,6910,6903,6898,6892,6881,6877,6870,6864,6856,6854,6844,6832,6829,6820,6815,6806,6804,6798,6789,6787,6781,6771,6761,6756,6747,6741,6734,6731,6723,6709,6708,6702
1,6984,6984,6982,6969,6968,6968,6968,6960,6956,6949,6941,6938,6933,6932,6925,6920,6916,6911,6899,6891,6890,6881,6877,6877,6873,6869,6864,6862,6855,6845,6843,6835,6826,6819,6817,6808,6802,6801,6795,6787,6781,6778,6771,6765,6758,6749,6736,6730,6727,6720
2,6984,6984,6979,6967,6963,6961,6958,6952,6946,6938,6933,6931,6924,6921,6915,6910,6911,6906,6904,6897,6893,6886,6876,6874,6868,6858,6847,6841,6829,6815,6802,6785,6773,6762,6749,6663,6599,6565,6474,6434,6407,6384,6320,6311,6299,6279,6260,6235,6218,6199
3,6985,6985,6984,6978,6975,6973,6973,6972,6969,6969,6966,6958,6957,6956,6949,6943,6940,6936,6926,6922,6917,6907,6905,6900,6893,6885,6877,6873,6864,6855,6850,6842,6836,6832,6828,6814,6802,6796,6791,6780,6769,6767,6749,6739,6725,6711,6703,6691,6689,6682
4,6985,6985,6983,6972,6969,6969,6965,6959,6957,6948,6945,6943,6940,6938,6925,6919,6919,6912,6903,6895,6894,6883,6877,6875,6870,6860,6851,6847,6835,6820,6813,6808,6794,6786,6785,6776,6767,6767,6758,6751,6746,6739,6733,6722,6719,6713,6702,6694,6691,6679
