,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,486,478,482,478,482,482,452,487,488,490,492,487,495,459,448,489,469,493,477,494,490,481,463,489,453,473,485,482,467,490,465,484,486,443,474,483,484,490,466,480,460,454,474,459,481,468,496,506,492,491,477,474,499,470,481,491,477,490,471,455,462,479,465,500,494,485,467,490,466,490,494,477,484,433,479,498,469,477,478,513,480,491,503,475,487,474,460,444,461,472,487,494,451,472,476,502,459,489,483,499
classroom,358,370,562,542,474,418,602,472,462,484,375,443,504,608,579,367,605,481,422,391,455,469,568,466,550,548,506,524,583,477,559,477,454,595,555,488,492,513,548,483,616,594,475,625,443,518,441,456,447,502,515,502,462,501,459,518,468,426,510,520,486,519,530,509,463,520,524,466,461,490,526,488,426,602,477,462,469,446,464,406,484,439,422,367,432,468,477,596,615,572,440,420,577,520,533,442,568,487,445,488
dining,210,261,288,214,198,178,374,232,256,276,205,233,247,402,349,167,258,219,204,231,219,232,279,175,381,228,264,239,227,252,319,233,252,360,318,304,308,266,303,247,322,346,213,271,236,210,213,187,169,309,252,232,231,190,181,201,168,184,297,319,294,282,264,220,198,318,258,199,198,247,240,208,243,348,270,259,358,231,252,210,250,261,247,229,188,235,273,402,260,320,158,207,322,301,291,161,352,172,233,225
library,48,80,67,135,52,50,80,59,64,97,50,68,72,67,75,52,70,53,78,80,79,66,82,78,96,88,51,79,66,90,77,73,52,84,97,65,84,56,54,41,54,78,99,58,76,58,58,66,64,69,102,93,61,67,93,48,65,82,46,74,106,55,69,75,83,56,62,103,100,68,68,62,48,100,69,84,63,59,65,68,75,62,71,72,80,67,85,71,77,74,60,92,70,96,69,63,79,65,91,49
gym,149,157,153,139,150,145,132,136,130,146,155,164,151,136,139,147,167,168,136,129,132,135,146,135,117,161,124,149,132,138,154,154,130,116,156,125,146,142,155,169,148,166,156,186,158,118,143,121,150,128,140,153,130,145,120,115,158,151,120,140,156,145,166,135,146,176,154,140,175,164,157,139,150,139,150,155,119,143,154,151,139,142,139,151,144,189,149,109,136,152,122,139,155,129,139,129,143,175,155,147
social,326,314,304,308,329,308,285,339,322,275,354,359,290,278,317,352,301,276,325,358,322,308,329,337,298,255,291,358,324,317,284,311,321,284,279,311,304,257,315,341,293,295,322,295,300,333,310,294,297,314,336,328,262,329,333,363,316,316,349,325,335,338,305,305,326,294,345,306,345,301,307,319,311,318,331,318,296,289,331,348,314,347,299,284,337,315,322,304,339,257,353,311,317,298,316,313,298,348,285,342
transit,0,0,3,2,2,1,3,0,0,3,1,1,3,1,1,0,4,2,1,2,4,2,2,0,2,1,2,0,1,1,4,2,2,0,1,4,0,1,3,2,0,3,1,1,5,2,2,0,1,2,1,0,3,3,1,1,1,1,2,1,3,1,2,1,0,1,2,2,0,1,2,4,0,2,1,0,1,1,1,0,0,3,2,1,0,0,3,2,1,2,1,1,3,2,2,0,3,3,0,0
offCampus,6,3,7,8,6,5,4,5,5,4,2,2,4,1,4,5,3,5,10,2,4,8,0,7,2,2,6,8,4,4,3,2,3,2,3,5,6,0,3,6,3,5,6,2,8,3,4,4,7,6,3,4,3,5,1,7,8,4,4,6,3,6,2,5,5,4,4,4,9,7,4,8,4,7,5,5,12,3,6,4,9,4,6,7,5,4,4,5,6,2,5,6,4,2,3,3,3,3,5,3
office,3,6,17,17,4,1,27,1,0,9,2,2,6,22,6,1,2,2,0,6,4,11,6,16,10,0,3,8,4,11,14,15,1,36,10,8,4,4,13,8,10,36,3,11,1,2,3,2,5,17,4,10,2,11,4,0,1,10,5,17,11,4,3,5,3,22,1,2,3,1,0,5,3,27,1,4,1,2,4,3,4,1,3,1,2,5,1,37,13,5,9,1,22,16,5,2,34,1,2,1
largeGathering,202,188,130,167,168,216,161,177,148,190,202,164,147,151,170,218,160,189,179,171,187,186,168,188,135,207,211,175,172,225,191,181,199,171,158,209,140,216,169,181,181,195,202,175,206,212,155,180,226,177,175,214,200,154,173,168,154,170,175,185,180,139,168,176,139,192,161,185,145,191,162,167,170,178,197,148,178,211,172,146,194,182,172,192,177,196,198,190,179,203,149,212,164,199,170,200,188,172,215,187
dorm_hub,51,41,46,46,47,49,35,43,47,53,49,47,59,43,38,51,47,47,27,55,51,43,41,49,39,42,58,48,44,52,46,42,44,35,47,48,46,50,37,41,37,37,46,39,45,40,50,62,47,56,43,46,49,38,52,53,43,40,46,41,35,51,44,61,56,50,34,48,36,49,58,46,48,35,43,57,38,49,41,71,56,48,62,36,44,42,38,39,39,48,51,53,33,43,41,53,45,50,42,55
classroom_hub,1,0,1,1,1,2,3,1,0,2,0,0,2,4,2,1,0,1,0,2,0,0,2,0,2,0,0,1,1,1,2,1,1,1,2,3,1,1,0,2,0,1,1,2,0,0,0,1,1,1,1,1,0,1,1,0,0,0,2,2,2,0,3,2,0,2,1,0,1,1,0,0,0,1,1,0,0,0,2,2,2,0,0,0,1,1,0,1,1,3,0,1,1,3,0,0,2,1,1,1
