,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,477,499,481,494,470,463,489,477,490,485,487,485,484,483,477,458,484,478,474,488,480,498,487,479,500,474,494,477,474,482,469,500,467,504,481,457,453,488,476,480,478,475,493,491,472,475,471,467,489,494,494,461,481,475,487,479,488,474,467,462,464,479,489,482,478,457,500,469,479,476,485,481,486,488,474,494,507,468,499,497,484,482,484,470,464,463,465,490,487,479,461,497,483,496,474,477,481,505,444,491
classroom,434,453,497,454,574,465,481,474,433,519,448,492,454,453,441,632,436,573,532,438,506,469,412,544,475,509,443,498,463,454,460,477,602,540,488,630,459,449,478,513,428,557,537,557,590,625,512,508,444,411,441,627,493,576,517,552,519,466,534,562,572,433,490,486,434,484,433,513,508,444,481,548,505,405,473,437,379,479,362,487,457,485,464,417,527,552,512,512,499,525,572,414,435,527,514,519,452,406,621,543
dining,181,185,280,205,296,245,211,236,200,222,318,188,255,265,214,249,191,378,252,218,237,229,260,278,205,325,225,235,238,264,248,224,309,156,269,353,174,188,286,223,254,260,248,243,222,295,259,388,188,208,238,334,216,313,313,338,241,264,333,310,318,321,234,248,281,312,195,300,241,205,220,275,192,210,273,158,181,313,201,209,175,229,270,219,246,248,298,197,208,231,279,213,232,250,258,222,271,213,323,189
library,73,50,49,85,87,62,68,74,49,75,70,56,86,57,64,72,53,73,86,78,84,70,74,79,60,71,50,75,70,57,73,48,79,75,71,44,75,48,53,68,93,60,109,78,50,55,47,51,99,45,60,79,60,81,61,54,55,55,88,99,112,66,74,65,62,101,62,60,61,75,73,70,82,73,105,64,64,84,66,70,58,56,72,83,78,82,68,64,68,60,78,59,43,78,67,79,72,44,69,88
gym,129,140,135,158,131,170,108,146,182,173,136,116,162,164,135,155,169,146,140,156,175,158,138,138,144,125,142,140,130,180,163,149,146,173,154,142,172,118,186,125,157,163,121,152,140,132,156,148,171,161,138,131,141,147,166,144,173,156,136,136,119,133,128,152,168,164,133,140,130,171,164,171,171,155,153,145,117,145,155,171,158,145,136,153,115,160,188,173,109,189,144,140,132,118,157,156,111,170,153,138
social,331,342,291,328,332,349,338,345,318,316,293,341,299,341,404,351,345,255,333,324,327,298,299,329,323,324,328,318,328,311,299,333,291,302,351,301,331,354,314,324,342,286,281,319,319,319,279,310,310,326,355,355,327,293,273,312,308,350,303,282,292,307,367,327,331,297,353,331,358,327,318,288,321,327,302,372,310,330,322,284,374,357,289,357,316,338,304,343,347,319,329,336,366,291,274,313,295,320,325,322
transit,1,2,1,3,2,1,1,1,3,1,1,3,4,0,0,1,4,1,4,1,1,1,1,1,1,2,2,3,6,2,2,2,0,2,0,0,1,0,2,2,2,1,2,1,1,0,4,2,0,0,0,0,2,2,0,2,2,1,1,0,1,1,1,1,1,2,0,3,2,1,0,1,3,0,3,1,2,1,2,0,4,2,0,1,4,2,1,1,2,0,3,1,3,0,2,0,2,2,1,2
offCampus,3,4,3,4,4,4,10,6,3,6,6,3,4,4,4,4,7,6,6,3,4,1,6,2,11,7,3,3,8,2,4,2,8,6,5,7,5,6,7,5,4,5,4,6,5,2,4,3,7,7,9,1,6,3,3,2,6,1,4,5,10,7,2,3,2,2,3,8,2,6,4,8,7,6,9,3,5,6,4,7,3,6,5,2,5,6,2,6,5,3,3,6,7,7,3,7,4,8,6,4
office,1,1,2,4,7,13,5,3,6,5,14,2,11,6,3,9,2,29,2,4,1,6,6,8,1,15,2,9,1,5,0,1,18,4,14,26,2,3,15,6,2,16,2,6,9,2,7,3,2,4,3,26,1,31,4,2,3,3,11,6,17,0,3,16,0,17,2,8,15,1,5,1,12,8,2,9,0,3,0,9,17,15,2,2,1,17,11,16,7,13,16,4,4,17,1,1,3,1,21,1
largeGathering,217,183,187,183,156,197,173,158,203,169,170,202,172,189,136,162,200,191,155,169,165,204,192,209,187,164,190,188,185,166,195,189,197,162,183,173,189,200,164,210,173,204,177,192,187,144,200,151,194,181,183,162,176,190,182,150,192,174,177,171,185,208,146,188,154,177,146,222,158,179,168,163,184,189,202,160,174,195,157,190,183,200,185,144,215,190,190,147,194,180,172,189,176,220,190,182,215,169,167,115
dorm_hub,50,49,54,53,50,40,60,39,52,50,53,44,40,49,50,38,55,44,43,57,59,51,51,41,66,50,51,43,45,45,35,63,56,64,47,39,31,39,64,50,37,45,44,56,40,48,44,43,48,57,54,38,50,49,57,47,51,47,52,42,38,55,51,42,35,39,64,42,50,39,49,44,51,56,47,56,57,49,53,57,38,48,41,45,35,38,31,55,45,48,42,56,44,56,41,39,41,59,35,53
classroom_hub,0,0,1,0,2,0,1,1,0,1,1,1,0,0,0,0,3,0,0,0,2,1,1,3,1,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,1,3,0,1,1,2,0,0,1,0,0,2,4,2,0,2,0,2,3,0,0,1,0,0,0,1,1,0,2,2,3,1,1,0,0,1,0,0,2,2,1,1,3,0,2,0,2,2,1,1,1,2,0,0,0,0,0,0
dining_hub,1,1,1,1,0,1,0,2,4,2,2,0,3,1,1,4,0,2,1,3,1,2,2,2,2,4,0,0,0,1,0,3,5,2,1,2,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,2,0,0,2,1,1,0,0,3,0,0,0,2,0,1,0,1,2,0,1,2,1,4,0,1,1,1,0,1,3,1,0,0,0,3,2,1,0,0,1,0,1,1,0,0,3,0
library_hub,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,1,1,1,3,0,0,0,0,0,0,1,0,1,1,1,2,2,3,0,1,0,0,1,0,1,1,3,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,2,0
gym_hub,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,1,2,1,3,2,1,1,1,3,1,1,3,4,0,0,1,4,1,4,1,1,1,1,1,1,2,2,3,6,2,2,2,0,2,0,0,1,0,2,2,2,1,2,1,1,0,4,2,0,0,0,0,2,2,0,2,2,1,1,0,1,1,1,1,1,2,0,3,2,1,0,1,3,0,3,1,2,1,2,0,4,2,0,1,4,2,1,1,2,0,3,1,3,0,2,0,2,2,1,2
