,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,472,466,437,436,474,466,497,484,460,472,470,457,471,501,453,465,476,482,478,493,466,492,473,469,462,463,470,460,482,468,464,468,472,485,487,467,447,461,453,480,482,479,509,442,430,435,453,487,468,452,480,478,482,448,464,455,474,449,480,473,459,449,476,469,489,492,487,469,461,479,476,470,483,476,470,488,464,476,484,496,473,454,463,471,479,480,466,461,470,455,467,469,476,459,467,474,474,491,471,469
classroom,498,519,544,632,416,476,496,498,529,524,502,611,422,478,577,518,609,429,461,495,480,454,519,509,535,593,525,516,477,601,537,546,565,485,460,600,572,567,549,451,509,583,420,562,709,639,534,414,564,608,526,490,499,568,564,511,467,556,473,573,574,511,465,497,452,490,530,521,612,457,588,488,571,603,523,431,525,542,524,460,481,634,574,565,554,447,412,616,436,489,538,515,458,632,435,532,534,398,512,585
dining,210,231,293,302,203,287,239,233,262,253,257,265,206,201,358,315,229,232,329,187,311,229,245,231,220,314,278,275,291,287,357,343,236,200,200,272,297,328,390,265,237,256,188,335,363,407,336,271,256,368,265,288,197,365,325,245,257,330,219,353,338,380,300,268,230,225,254,228,392,192,297,254,239,251,246,200,214,265,224,223,237,358,302,208,315,226,254,242,275,284,278,244,273,251,214,222,282,184,179,267
library,74,83,65,103,55,76,65,77,95,124,90,58,56,92,68,87,64,57,96,59,50,74,73,66,81,71,83,83,68,81,70,56,95,61,55,65,87,69,72,50,69,54,58,87,129,77,79,61,63,69,50,77,55,84,71,75,83,108,67,52,82,106,93,82,57,47,82,108,82,66,63,76,65,60,74,84,69,77,62,56,80,77,82,78,59,79,83,86,67,101,49,74,40,56,82,79,69,69,90,112
gym,147,148,148,137,97,164,137,137,127,107,145,117,141,149,123,130,156,163,139,119,131,108,131,137,138,129,77,139,130,132,157,119,118,141,148,116,115,146,124,166,180,148,143,127,160,139,154,134,168,109,158,119,140,156,150,138,169,132,149,128,126,134,131,148,133,113,133,137,119,154,146,109,139,151,148,138,131,118,114,130,130,139,146,141,138,164,162,120,145,115,152,130,121,174,120,177,111,146,138,136
social,303,302,328,286,308,328,269,301,245,287,270,273,279,290,324,276,281,286,285,320,333,329,291,288,303,271,292,280,295,265,285,271,320,326,263,309,319,289,292,275,281,290,303,295,255,284,304,294,294,285,281,279,298,269,323,323,314,286,293,250,283,254,301,286,326,317,299,296,265,340,287,315,315,287,309,348,285,296,293,320,304,247,271,300,275,307,364,294,276,303,312,327,367,309,350,272,264,319,318,260
transit,1,0,1,1,1,2,3,0,0,1,4,2,3,1,1,2,3,2,1,2,1,1,2,0,1,5,1,0,0,2,1,1,1,1,1,0,1,3,0,2,1,2,0,2,1,1,2,1,2,1,1,1,2,3,1,2,2,1,2,3,2,0,0,3,1,2,2,1,0,0,2,3,1,1,1,1,0,4,1,0,1,2,0,2,0,1,1,4,2,1,1,1,1,2,1,0,3,2,0,3
offCampus,3,7,4,3,6,3,5,4,4,0,1,2,3,6,0,3,3,2,1,2,5,8,6,6,7,3,2,1,6,3,4,4,5,5,5,4,4,1,7,6,5,2,5,4,4,5,3,7,3,5,4,6,6,7,4,6,5,2,2,4,2,6,3,9,7,5,3,2,8,6,2,12,1,2,3,5,5,8,4,1,11,5,6,2,7,5,2,7,4,3,8,7,7,2,6,8,3,4,8,6
office,3,8,24,37,11,0,1,14,2,3,18,29,1,1,24,20,13,15,4,2,14,2,5,5,0,29,20,3,8,3,17,8,10,1,3,11,29,21,20,5,3,4,4,25,49,75,27,13,12,22,2,6,0,37,32,7,11,5,2,14,8,21,7,4,10,2,14,21,27,2,9,1,3,13,4,1,6,9,14,9,5,9,16,9,4,1,3,24,3,10,3,3,19,17,2,2,12,6,6,9
largeGathering,193,167,168,156,198,158,169,212,178,179,181,177,228,172,171,203,178,204,193,180,181,165,186,168,193,201,210,163,181,212,197,166,167,156,187,189,165,159,180,193,176,173,172,183,134,192,183,183,148,164,151,154,181,178,162,204,141,176,204,193,151,181,168,214,167,173,166,189,162,179,153,142,186,186,178,176,175,155,204,186,179,182,196,159,193,168,163,143,216,180,200,186,158,191,146,169,158,202,183,152
