,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,161,112,145,125,140,135,87,110,136,141,143,137,121,119,125,118,133,124,111,125,116,136,114,119,132,92,146,157,112,146,129,124,123,123,149,155,118,102,133,129,158,80,119,110,129,112,133,142,87,152,95,93,127,112,117,116,138,161,120,105,140,141,136,149,106,132,139,138,102,112,136,126,115,130,135,147,129,152,130,132,132,143,148,131,124,100,108,161,122,102,107,139,134,130,120,142,126,126,125,137
classroom,67,35,26,44,34,35,33,51,38,54,46,41,42,50,42,37,43,39,50,32,36,58,30,43,45,45,63,43,24,41,41,40,49,45,45,54,40,49,46,47,38,34,29,32,41,47,46,57,44,41,42,33,33,53,37,49,37,45,34,43,50,37,37,45,39,53,52,53,35,43,45,52,39,43,41,35,34,51,38,42,39,50,49,40,48,43,34,52,49,42,51,50,46,33,23,50,51,44,36,56
dining,47,42,56,47,46,49,33,44,57,56,51,46,64,36,47,36,48,36,42,48,42,47,34,59,52,34,56,52,42,60,40,37,39,34,72,73,30,32,42,40,58,20,37,55,31,50,53,49,25,55,32,28,43,30,36,42,37,50,43,32,51,39,38,51,36,45,48,50,31,30,43,51,42,53,56,54,51,62,43,42,50,64,50,49,47,31,34,59,40,37,46,44,67,41,36,59,43,44,51,54
library,3,4,2,7,1,5,3,2,3,8,2,6,4,7,5,3,4,3,5,5,5,5,8,5,3,3,5,8,2,6,7,7,7,4,2,10,0,5,5,10,1,4,4,6,0,7,2,6,4,10,1,5,5,5,6,4,4,3,4,4,4,3,6,8,9,6,7,4,1,2,3,10,4,4,4,1,5,3,4,7,4,4,7,5,4,2,4,4,3,3,4,2,6,2,8,4,5,2,7,7
gym,23,16,23,27,28,19,24,19,23,18,20,23,21,35,26,15,21,26,12,42,20,28,17,26,24,15,25,20,21,20,30,28,25,21,38,29,25,8,14,12,30,9,17,13,36,25,22,20,17,41,19,22,20,19,26,20,27,29,19,22,31,29,21,18,15,19,33,20,12,17,15,24,21,15,14,31,24,23,28,15,17,23,24,17,27,18,29,33,27,15,17,26,20,27,25,33,17,11,39,22
social,61,68,81,70,72,74,42,68,61,51,81,74,59,48,60,52,68,73,65,56,58,64,70,59,70,49,67,66,58,72,57,55,48,62,51,57,70,49,65,71,70,49,62,69,63,67,55,59,35,68,49,54,58,82,68,60,63,65,65,64,56,77,66,80,70,58,63,58,63,69,62,49,59,65,87,77,60,65,65,58,61,54,83,74,70,62,67,69,63,54,63,56,58,62,68,56,58,70,50,61
transit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
offCampus,4,11,9,4,8,7,6,6,4,8,8,6,8,6,6,10,4,3,6,4,10,10,6,6,6,7,8,6,8,6,7,8,5,9,10,12,5,5,5,7,9,5,5,6,8,6,9,12,5,10,8,10,6,6,3,11,9,8,6,3,9,3,6,7,8,8,8,4,8,4,3,6,8,10,4,7,5,7,5,11,6,11,7,4,6,11,14,7,8,4,6,12,7,4,2,10,6,10,4,5
office,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
largeGathering,41,20,11,38,22,38,26,20,46,34,22,31,34,15,40,21,50,29,20,39,30,33,36,34,32,29,24,26,20,39,58,22,31,35,44,49,29,12,38,30,49,11,25,21,32,28,32,50,27,41,14,32,32,34,25,31,25,37,18,15,37,20,35,26,27,36,24,57,15,30,35,37,20,16,30,42,27,20,16,59,31,39,29,28,37,37,23,38,27,15,23,32,36,34,13,21,30,25,32,36
dorm_hub,16,7,15,7,16,9,9,8,11,20,16,12,15,16,8,14,13,13,11,11,16,17,16,8,13,5,10,31,10,13,15,13,19,13,11,14,20,8,10,17,17,11,17,9,17,11,17,22,10,15,9,9,19,11,6,10,18,22,13,9,16,15,21,19,8,16,21,19,10,8,20,12,12,13,10,17,16,21,17,14,17,12,20,11,10,7,5,15,12,13,6,17,12,12,13,14,11,18,14,16
